Client ID,Industry Type,id,Weight,Volume,Average CFT
1525,APPAREL,19,4577.0,1267.5,3.7048690335534586
1531,APPAREL,52,12937.0,3092.02,5.4216122254101755
1550,APPAREL,58,3460.53,669.79,6.179280105757037
1559,APPAREL,214,18155.47,7322.78,2.848153485632884
1563,APPAREL,13,11715.1,1988.75,6.772353427298951
1571,APPAREL,167,12614.14,2565.44,11.96271434752176
1593,APPAREL,17,18070.0,4649.51,4.137137226506038
1601,APPAREL,27,2024.0,415.22,5.338605332045843
1605,APPAREL,6,124.0,28.05,4.840496263857072
1607,APPAREL,28,3041.0,532.92,5.633198307752283
1617,APPAREL,131,12353.0,2784.04,5.932217419004319
1619,APPAREL,8,372.0,103.74,4.402966185651209
1622,APPAREL,2,65.0,16.08,3.9878890695318208
1634,APPAREL,5,4858.0,1021.62,4.836173620265873
1639,APPAREL,12,430.0,68.59,6.496797879988306
1645,APPAREL,94,36532.0,10973.9,3.3179066279871634
1650,APPAREL,15,3412.0,2020.24,1.9290389612816812
1655,APPAREL,2503,227247.0,73836.7,4.498396289639037
1657,APPAREL,3,2584.0,365.12,6.021034035726234
1675,APPAREL,33,8738.8,369.04,21.873437931561423
1678,APPAREL,8,8425.6,795.74,14.73500437141253
1700,APPAREL,183,8854.0,1836.02,5.923413263771262
1747,APPAREL,51,5580.0,950.29,10.022320270894998
1761,APPAREL,12,566.0,93.89,6.019020868317529
1767,APPAREL,8,794.0,115.03,7.141546176345706
1768,APPAREL,134,1996.79,445.59000000000003,7.530003313802833
1804,APPAREL,66,4785.0,1437.76,4.054130097513823
1813,APPAREL,102,23508.0,3537.63,7.01299839741746
1833,APPAREL,21,708.0,136.69,14.45611378063986
1839,APPAREL,1,335.0,34.04,9.841363102232668
1848,APPAREL,20,3356.0,360.28,8.871462078663678
1855,APPAREL,87,3714.0,251.70000000000002,15.987016312712395
1857,APPAREL,39,214.38,31.01,7.240299715600772
